On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
yes,NA,CITY OF SUN PRAIRIE - DANE COUNTY,Westside Community Service Building,"2598 W MAIN ST, SUN PRAIRIE, WI 53590-4637",11/3/2020,11/3/2020,"After 2pm on Election Day, we strongly recommend taking any absentee ballots directly to Sun Prairie High School, 888 Grove St, Sun Prairie, WI 53590.  "
yes,NA,CITY OF SUPERIOR - DOUGLAS COUNTY,Gov't Ctr Drop Box,"1316 N 14TH ST, SUPERIOR, WI 54880-1773",9/16/2020,11/3/2020,"Ballots accepted until 8PM on Election Day (November 3, 2020)."
yes,NA,CITY OF TOMAH - MONROE COUNTY,Tomah City Hall DropBox,"819 SUPERIOR AVE, TOMAH, WI 54660-2046",9/21/2020,11/3/2020,Tomah City Hall's drop-box is located to the left of the doors when facing the front doors.  Please slide your sealed Official Absentee Ballot Certification envelope through the mailing slot located in the wall. 
yes,NA,CITY OF VERONA - DANE COUNTY,Verona City Hall Entry Way,"111 LINCOLN ST, VERONA, WI 53593-1520",11/3/2020,11/3/2020,Any ballots deposited in the drop boxes after 8 p.m. on Election Day will not be counted.
yes,NA,CITY OF VERONA - DANE COUNTY,Verona City Hall Parking Lot,"111 LINCOLN ST, VERONA, WI 53593-1520",11/3/2020,11/3/2020,Any ballots deposited in the drop boxes after 8 p.m. on Election Day will not be counted.
yes,NA,CITY OF WASHBURN - BAYFIELD COUNTY,Washburn City Hall,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",9/17/2020,11/3/2020,Drop box is located next to door and is used for all Ballots and other correspondence
mostly,(address does not match),CITY OF WAUWATOSA - MILWAUKEE COUNTY,Hart Park Muellner Building Senior Center,"7300 CHESTNUT ST, WAUWATOSA, WI 53213-2739",10/1/2020,11/3/2020,"Last pickup on Election Day is 7:00 pm.  After that time absentee ballots must be brought to the Office of the Clerk, second floor of City Hall, 7725 W North Ave, Wauwatosa."
yes,NA,CITY OF WAUWATOSA - MILWAUKEE COUNTY,Wauwatosa City Hall,"7725 W NORTH AVE, WAUWATOSA, WI 53213",10/1/2020,11/3/2020,"Last pickup on Election Day is 7:00 pm.  After that time absentee ballots must be brought to the Office of the Clerk, second floor of City Hall, 7725 W North Ave, Wauwatosa."
yes,NA,CITY OF WEST ALLIS - MILWAUKEE COUNTY,West Allis City Hall,"7525 W GREENFIELD AVE, WEST ALLIS, WI 53214-4648",9/22/2020,11/3/2020,"If you'd like to deliver your voted absentee ballot in person, you may deposit it in our drop box on the City Hall building, to the right of the south side doors.  Or you can turn it in in person at the Customer Service Center Monday - Friday, 1130am to 430pm.   All Absentee Ballots MUST be delivered to City Hall by / on Election Day, at 8PM to be counted.  All Absentee Ballots will now be counted at City Hall, rather than the individual polling places.   "
yes,NA,CITY OF WEST BEND - WASHINGTON COUNTY,West Bend City Hall,"1115 S MAIN ST, WEST BEND, WI 53095-4605",9/17/2020,11/3/2020,The drop box is in front of City Hall. There is an arrow directing where ballots should be placed. 
,,CITY OF WHITEHALL - TREMPEALEAU COUNTY,City of Whitehall Drop Box,"18460 KELLEY ST, WHITEHALL, WI 54733",9/17/2020,11/3/2020,Access to the drop box is located off of Kelley Street between the back of Rudy's car lot and the City garage.  The box is located on the left edge of the blacktop by the gazebo.  
,,CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES,Wisconsin Dells Municipal Building,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",9/17/2020,11/3/2020,Please use the secure Depository Box on the front of the building that is available 24-hours day.
,,CITY OF WISCONSIN RAPIDS - WOOD COUNTY,City Hall Drop Box,"444 W GRAND AVE, WISCONSIN RAPIDS, WI 54495",9/17/2020,11/3/2020,"No pick up after 4:30 on November 3, Election Day. "
,,TOWN OF ADAMS - GREEN COUNTY,Adams Town Hall,"N5723 BIGGS RD, ARGYLE, WI 53504",9/29/2020,11/3/2020,
,,TOWN OF ALMON - SHAWANO COUNTY,Drop Off by appointment,"W16550 COUNTY RD N, BIRNAMWOOD, WI 54414",9/17/2020,11/3/2020,"I will be available with an appointment to drop ballots off in person if mailing your ballots is not your option. Call and I will make myself available for you and secure you ballot for election day. If you have questions, please call. "
,,TOWN OF ANGELICA - SHAWANO COUNTY,Angelica Town Hall,"N3285 COUNTY ROAD C, PULASKI, WI 54162",9/21/2020,11/3/2020,
,,TOWN OF ANSON - CHIPPEWA COUNTY,Town Hall,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619",10/1/2020,11/3/2020,Drop box is being installed the week of 9/28/2020.  Please check the town's website at https://thetownofanson.com for more details!
,,TOWN OF ARCADIA - TREMPEALEAU COUNTY,Town Hall Drop Box,"W26051 STATE ROAD 95, ARCADIA, WI 54612-8200",9/23/2020,11/3/2020,
,,TOWN OF ASHIPPUN - DODGE COUNTY,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",9/17/2020,11/3/2020,
,,TOWN OF AUBURN - FOND DU LAC COUNTY,Town Hall,"W1728 SUNSET DR, CAMPBELLSPORT, WI 53010-2901",9/17/2020,11/3/2020,
,,TOWN OF BARNES - BAYFIELD COUNTY,Drop Box,"3360 COUNTY HWY N, BARNES, WI 54873-6106",9/17/2020,11/3/2020,
,,TOWN OF BAYFIELD - BAYFIELD COUNTY,Bayfield Town Hall,"85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",9/17/2020,11/3/2020,"As of September 24th, 2020 there is a small black drop box available near the office door of the Town Hall.  Ballots can be placed in this box.  A security seal is placed on the box upon closing and the box is checked regularly.  It should be noted though, that a  larger through-the-wall drop box is on order and is scheduled to be installed in early October.  You may choose to wait until the new drop box is available.  Ballots can also be dropped of in person on Tuesdays from 8AM-4PM."
,,TOWN OF BELGIUM - OZAUKEE COUNTY,Town Hall,"171 MAIN ST, BELGIUM, WI 53004",9/17/2020,11/3/2020,The ballot drop box is located near the drive-thru window (former night deposit box).
,,TOWN OF BELLE PLAINE - SHAWANO COUNTY,Secure Drop Box at the Community Center,"N3002 STATE HIGHWAY 22, CLINTONVILLE, WI 54929",9/28/2020,11/3/2020,
,,TOWN OF BERLIN - GREEN LAKE COUNTY,Berlin Town Hall,"N9291 WILLARD RD, BERLIN, WI 54923-9488",10/1/2020,11/3/2020,Drop box located to the right of the front doors.
,,TOWN OF BIRCH CREEK - CHIPPEWA COUNTY,Town Hall,"26755 240TH ST, HOLCOMBE, WI 54745",9/17/2020,11/3/2020,
,,TOWN OF BLACK CREEK - OUTAGAMIE COUNTY,Black Creek Town Hall,"N6051 TWELVE CORNERS RD, BLACK CREEK, WI 54106",9/23/2020,11/3/2020,
,,TOWN OF BLANCHARD - LAFAYETTE COUNTY,Town Hall,"207 PINE ST, BLANCHARDVILLE, WI 53716",9/23/2020,11/3/2020,
,,TOWN OF BLOOMFIELD - WALWORTH COUNTY,Bloomfield Town Hall,"N1100 TOWN HALL RD, GENOA CITY, WI 53128",9/30/2020,11/3/2020,
,,TOWN OF BRIGHAM - IOWA COUNTY,Barneveld-Brigham Municipal Building,"407 COUNTY ROAD ID, BARNEVELD, WI 53507",9/17/2020,11/3/2020,Drop Box (built into the building) is located to the right of the Main Entrance.
,,TOWN OF BROOKLYN - GREEN COUNTY,Brooklyn Town Hall,"400 W MAIN ST, BROOKLYN, WI 53521-9759",9/18/2020,11/3/2020,"Located on backside of 2nd pillar from right, in front of Clerk's office"
,,TOWN OF BUCHANAN - OUTAGAMIE COUNTY,Town of Buchanan Town Hall,"N178 COUNTY RD N, APPLETON, WI 54915-9459",9/18/2020,11/3/2020,
